"feature","class","totallength","totaldb","totaloh","FA1kind","FA1length","FA1db","FA1oh","FA2kind","FA2length","FA2db","FA2oh","shorthand_notation","swisslipids_name","swisslipids_id","swisslipids_rank"
"CE 10:0;0","CE",10,0,0,"ST",27,1,0,"FA",10,0,0,"SE 27:1/10:0","decanoyl-cholesterol","SLM:000500256","SLM:Isomeric_Subspecies"
"CE 11:0;0","CE",11,0,0,"ST",27,1,0,"FA",11,0,0,"SE 27:1/11:0",NA,NA,NA
"CE 12:0;0","CE",12,0,0,"ST",27,1,0,"FA",12,0,0,"SE 27:1/12:0","dodecanoyl-cholesterol","SLM:000500257","SLM:Isomeric_Subspecies"
"CE 13:0;0","CE",13,0,0,"ST",27,1,0,"FA",13,0,0,"SE 27:1/13:0","tridecanoyl-cholesterol","SLM:000500259","SLM:Isomeric_Subspecies"
"CE 13:1;0","CE",13,1,0,"ST",27,1,0,"FA",13,1,0,"SE 27:1/13:1","Sterol ester (27:1/13:1)",NA,NA
"CE 14:0;0","CE",14,0,0,"ST",27,1,0,"FA",14,0,0,"SE 27:1/14:0","tetradecanoyl-cholesterol","SLM:000500261","SLM:Isomeric_Subspecies"
"CE 14:1;0","CE",14,1,0,"ST",27,1,0,"FA",14,1,0,"SE 27:1/14:1","Sterol ester (27:1/14:1)","SLM:000500341","SLM:Molecular_Subspecies"
"CE 15:0;0","CE",15,0,0,"ST",27,1,0,"FA",15,0,0,"SE 27:1/15:0","pentadecanoyl-cholesterol","SLM:000500263","SLM:Isomeric_Subspecies"
"CE 15:1;0","CE",15,1,0,"ST",27,1,0,"FA",15,1,0,"SE 27:1/15:1","Sterol ester (27:1/15:1)",NA,NA
"CE 16:0;0","CE",16,0,0,"ST",27,1,0,"FA",16,0,0,"SE 27:1/16:0","hexadecanoyl-cholesterol","SLM:000389778","SLM:Isomeric_Subspecies"
"CE 16:1;0","CE",16,1,0,"ST",27,1,0,"FA",16,1,0,"SE 27:1/16:1","Sterol ester (27:1/16:1)","SLM:000500345","SLM:Molecular_Subspecies"
"CE 16:2;0","CE",16,2,0,"ST",27,1,0,"FA",16,2,0,"SE 27:1/16:2","Sterol ester (27:1/16:2)","SLM:000500344","SLM:Molecular_Subspecies"
"CE 17:0;0","CE",17,0,0,"ST",27,1,0,"FA",17,0,0,"SE 27:1/17:0","heptadecanoyl-cholesterol","SLM:000500268","SLM:Isomeric_Subspecies"
"CE 17:1;0","CE",17,1,0,"ST",27,1,0,"FA",17,1,0,"SE 27:1/17:1","Sterol ester (27:1/17:1)",NA,NA
"CE 17:2;0","CE",17,2,0,"ST",27,1,0,"FA",17,2,0,"SE 27:1/17:2","Sterol ester (27:1/17:2)",NA,NA
"CE 18:0;0","CE",18,0,0,"ST",27,1,0,"FA",18,0,0,"SE 27:1/18:0","octadecanoyl-cholesterol","SLM:000500276","SLM:Isomeric_Subspecies"
"CE 18:1;0","CE",18,1,0,"ST",27,1,0,"FA",18,1,0,"SE 27:1/18:1","Sterol ester (27:1/18:1)","SLM:000500351","SLM:Molecular_Subspecies"
"CE 18:2;0","CE",18,2,0,"ST",27,1,0,"FA",18,2,0,"SE 27:1/18:2","Sterol ester (27:1/18:2)","SLM:000500350","SLM:Molecular_Subspecies"
"CE 18:3;0","CE",18,3,0,"ST",27,1,0,"FA",18,3,0,"SE 27:1/18:3","Sterol ester (27:1/18:3)","SLM:000500349","SLM:Molecular_Subspecies"
"CE 19:0;0","CE",19,0,0,"ST",27,1,0,"FA",19,0,0,"SE 27:1/19:0","nonadecanoyl-cholesterol","SLM:000500277","SLM:Isomeric_Subspecies"
"CE 19:1;0","CE",19,1,0,"ST",27,1,0,"FA",19,1,0,"SE 27:1/19:1","Sterol ester (27:1/19:1)",NA,NA
"CE 19:2;0","CE",19,2,0,"ST",27,1,0,"FA",19,2,0,"SE 27:1/19:2","Sterol ester (27:1/19:2)",NA,NA
"CE 19:3;0","CE",19,3,0,"ST",27,1,0,"FA",19,3,0,"SE 27:1/19:3","Sterol ester (27:1/19:3)",NA,NA
"CE 19:4;0","CE",19,4,0,"ST",27,1,0,"FA",19,4,0,"SE 27:1/19:4","Sterol ester (27:1/19:4)",NA,NA
"CE 20:1;0","CE",20,1,0,"ST",27,1,0,"FA",20,1,0,"SE 27:1/20:1","Sterol ester (27:1/20:1)","SLM:000500358","SLM:Molecular_Subspecies"
"CE 20:2;0","CE",20,2,0,"ST",27,1,0,"FA",20,2,0,"SE 27:1/20:2","Sterol ester (27:1/20:2)","SLM:000500357","SLM:Molecular_Subspecies"
"CE 20:3;0","CE",20,3,0,"ST",27,1,0,"FA",20,3,0,"SE 27:1/20:3","Sterol ester (27:1/20:3)","SLM:000500356","SLM:Molecular_Subspecies"
"CE 20:4;0","CE",20,4,0,"ST",27,1,0,"FA",20,4,0,"SE 27:1/20:4","Sterol ester (27:1/20:4)","SLM:000500355","SLM:Molecular_Subspecies"
"CE 20:5;0","CE",20,5,0,"ST",27,1,0,"FA",20,5,0,"SE 27:1/20:5","Sterol ester (27:1/20:5)","SLM:000500354","SLM:Molecular_Subspecies"
"CE 21:0;0","CE",21,0,0,"ST",27,1,0,"FA",21,0,0,"SE 27:1/21:0","heneicosanoyl-cholesterol","SLM:000500286","SLM:Isomeric_Subspecies"
"CE 21:1;0","CE",21,1,0,"ST",27,1,0,"FA",21,1,0,"SE 27:1/21:1","Sterol ester (27:1/21:1)",NA,NA
"CE 21:2;0","CE",21,2,0,"ST",27,1,0,"FA",21,2,0,"SE 27:1/21:2","Sterol ester (27:1/21:2)",NA,NA
"CE 22:0;0","CE",22,0,0,"ST",27,1,0,"FA",22,0,0,"SE 27:1/22:0","docosanoyl-cholesterol","SLM:000500294","SLM:Isomeric_Subspecies"
"CE 22:1;0","CE",22,1,0,"ST",27,1,0,"FA",22,1,0,"SE 27:1/22:1","Sterol ester (27:1/22:1)","SLM:000500366","SLM:Molecular_Subspecies"
"CE 22:3;0","CE",22,3,0,"ST",27,1,0,"FA",22,3,0,"SE 27:1/22:3","Sterol ester (27:1/22:3)","SLM:000500364","SLM:Molecular_Subspecies"
"CE 22:5;0","CE",22,5,0,"ST",27,1,0,"FA",22,5,0,"SE 27:1/22:5","Sterol ester (27:1/22:5)","SLM:000500362","SLM:Molecular_Subspecies"
"CE 22:6;0","CE",22,6,0,"ST",27,1,0,"FA",22,6,0,"SE 27:1/22:6","Sterol ester (27:1/22:6)","SLM:000500361","SLM:Molecular_Subspecies"
"CE 23:0;0","CE",23,0,0,"ST",27,1,0,"FA",23,0,0,"SE 27:1/23:0","tricosanoyl-cholesterol","SLM:000500295","SLM:Isomeric_Subspecies"
"CE 23:2;0","CE",23,2,0,"ST",27,1,0,"FA",23,2,0,"SE 27:1/23:2","Sterol ester (27:1/23:2)",NA,NA
"CE 24:0;0","CE",24,0,0,"ST",27,1,0,"FA",24,0,0,"SE 27:1/24:0","tetracosanoyl-cholesterol","SLM:000500301","SLM:Isomeric_Subspecies"
"CE 24:1;0","CE",24,1,0,"ST",27,1,0,"FA",24,1,0,"SE 27:1/24:1","Sterol ester (27:1/24:1)","SLM:000500372","SLM:Molecular_Subspecies"
"CE 24:2;0","CE",24,2,0,"ST",27,1,0,"FA",24,2,0,"SE 27:1/24:2","Sterol ester (27:1/24:2)",NA,NA
"Cer 32:0;1","Cer",32,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:0;O","Ceramide (m32:0)",NA,NA
"Cer 32:0;2","Cer",32,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:0;O2","Ceramide (d32:0)","SLM:000391219","SLM:Species"
"Cer 32:1;1","Cer",32,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:1;O","Ceramide (m32:1)",NA,NA
